",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"47,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012001P0"",""DS"",""UFAL"",""Federal"",""LETRAS E LINGÜÍSTICA"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""26001012"",0,0,21,0,0,0,8,0,0,0,0,0,0,0,29"
"48,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012001P0"",""FAPEALII"",""UFAL"",""Federal"",""LETRAS E LINGÜÍSTICA"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""26001012"",0,0,2,0,0,0,19,0,0,0,0,0,0,0,21"
"49,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012001P0"",""PNPD"",""UFAL"",""Federal"",""LETRAS E LINGÜÍSTICA"",""INDEFINIDA"",""LETRAS"",""LINGÜÍSTICA, LETRAS E ARTES"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"50,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012002P6"",""DS"",""UFAL"",""Federal"",""Física"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,26,0,0,0,21,0,0,0,0,0,0,0,47"
"51,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012002P6"",""FAPEALII"",""UFAL"",""Federal"",""Física"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,12,0,0,0,2,0,0,0,0,0,0,0,14"
"52,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012002P6"",""PNPD"",""UFAL"",""Federal"",""Física"",""INDEFINIDA"",""FÍSICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"53,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012003P2"",""DS"",""UFAL"",""Federal"",""QUÍMICA E BIOTECNOLOGIA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,43,0,0,0,18,0,0,0,0,0,0,0,61"
"54,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012003P2"",""FAPEALII"",""UFAL"",""Federal"",""QUÍMICA E BIOTECNOLOGIA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"55,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012003P2"",""PNPD"",""UFAL"",""Federal"",""QUÍMICA E BIOTECNOLOGIA"",""INDEFINIDA"",""QUÍMICA"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"56,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012005P5"",""DS"",""UFAL"",""Federal"",""METEOROLOGIA"",""INDEFINIDA"",""GEOCIÊNCIAS"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"57,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012005P5"",""PNPD"",""UFAL"",""Federal"",""METEOROLOGIA"",""INDEFINIDA"",""GEOCIÊNCIAS"",""CIÊNCIAS EXATAS E DA TERRA"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"58,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012010P9"",""DS"",""UFAL"",""Federal"",""AGRONOMIA (PRODUÇÃO VEGETAL)"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""26001012"",0,0,10,0,0,0,15,0,0,0,0,0,0,0,25"
"59,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012010P9"",""FAPEALII"",""UFAL"",""Federal"",""AGRONOMIA (PRODUÇÃO VEGETAL)"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""26001012"",0,0,8,0,0,0,0,0,0,0,0,0,0,0,8"
"60,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012010P9"",""PNPD"",""UFAL"",""Federal"",""AGRONOMIA (PRODUÇÃO VEGETAL)"",""INDEFINIDA"",""AGRONOMIA"",""CIÊNCIAS AGRÁRIAS"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"61,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012011P5"",""DS"",""UFAL"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,12,0,0,0,16,0,0,0,0,0,0,0,28"
"62,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012011P5"",""FAPEALII"",""UFAL"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,10,0,0,0,24,0,0,0,0,0,0,0,34"
"63,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012011P5"",""PNPD"",""UFAL"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"64,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012011P5"",""PROCAD"",""FAT/AL"",""Privada"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""26008017"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"65,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012011P5"",""PROCAD"",""UFAL"",""Federal"",""EDUCAÇÃO"",""INDEFINIDA"",""EDUCAÇÃO"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2"
"66,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012012P1"",""DS"",""UFAL"",""Federal"",""ENGENHARIA CIVIL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""26001012"",0,0,0,0,0,0,13,0,0,0,0,0,0,0,13"
"67,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012012P1"",""FAPEALII"",""UFAL"",""Federal"",""ENGENHARIA CIVIL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""26001012"",0,0,0,0,0,0,4,0,0,0,0,0,0,0,4"
"68,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012012P1"",""PNPD"",""UFAL"",""Federal"",""ENGENHARIA CIVIL"",""INDEFINIDA"",""ENGENHARIA CIVIL"",""ENGENHARIAS"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"69,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012013P8"",""DS"",""UFAL"",""Federal"",""SOCIOLOGIA"",""INDEFINIDA"",""SOCIOLOGIA"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,0,0,0,0,8,0,0,0,0,0,0,0,8"
"70,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012013P8"",""FAPEALII"",""UFAL"",""Federal"",""SOCIOLOGIA"",""INDEFINIDA"",""SOCIOLOGIA"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"71,2018,""AL"",""MACEIÓ"",""NORDESTE"",""26001012013P8"",""PNPD"",""UFAL"",""Federal"",""SOCIOLOGIA"",""INDEFINIDA"",""SOCIOLOGIA"",""CIÊNCIAS HUMANAS"",""26001012"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
