",""Ano"",""UF"",""Município"",""Região"",""Código Programa"",""Programa Fomento"",""IES"",""Status Jurídico"",""Programa"",""Área Avaliação"",""Área Conhecimento"",""Grande Área"",""Codigo IES"",""Coordenador Geral IsF"",""Coordenador Pedagógico IsF"",""DOUTORADO PLENO"",""Iniciação Científica"",""JOVENS TALENTOS - A"",""JOVENS TALENTOS - B"",""MESTRADO"",""MESTRADO PROFISSIONAL"",""PESQUISADOR VISITANTE ESPECIAL"",""PROF VISITANTE NACIONAL SÊNIOR"",""PROFESSOR VISITANTE EXTERIOR PLENO"",""PROFESSOR VISITANTE EXTERIOR SENIOR"",""Professor IsF"",""PÓS-DOUTORADO"",""Total Linha"""
"9799,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010034P1"",""DS"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA  FÍSICA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,15,0,0,0,11,0,0,0,0,0,0,0,26"
"9800,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010034P1"",""MODELAGEM"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA  FÍSICA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9801,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010034P1"",""PNPD"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA  FÍSICA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9802,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010035P8"",""ARAUCÁRIA"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA HUMANA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9803,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010035P8"",""FAPESP"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA HUMANA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,5,0,0,0,2,0,0,0,0,0,0,2,9"
"9804,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010035P8"",""PNPD"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA HUMANA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9805,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010035P8"",""PREMIO"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA HUMANA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9806,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010035P8"",""PROEX"",""USP"",""Estadual"",""GEOGRAFIA (GEOGRAFIA HUMANA)"",""INDEFINIDA"",""GEOGRAFIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,18,0,0,0,16,0,0,0,0,0,0,0,34"
"9807,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010036P4"",""ARAUCÁRIA"",""USP"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9808,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010036P4"",""FAPESP"",""USP"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""33002010"",0,0,0,0,0,0,6,0,0,0,0,0,0,0,6"
"9809,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010036P4"",""PNPD"",""USP"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9810,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010036P4"",""PROEX"",""USP"",""Estadual"",""ECONOMIA"",""INDEFINIDA"",""ECONOMIA"",""CIÊNCIAS SOCIAIS APLICADAS"",""33002010"",0,0,11,0,0,0,16,0,0,0,0,0,0,0,27"
"9811,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010037P0"",""FAPESP"",""USP"",""Estadual"",""PSICOLOGIA (PSICOLOGIA EXPERIMENTAL)"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2"
"9812,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010037P0"",""PNPD"",""USP"",""Estadual"",""PSICOLOGIA (PSICOLOGIA EXPERIMENTAL)"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"9813,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010037P0"",""PROEX"",""USP"",""Estadual"",""PSICOLOGIA (PSICOLOGIA EXPERIMENTAL)"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,16,0,0,0,20,0,0,0,0,0,0,0,36"
"9814,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010038P7"",""DS"",""USP"",""Estadual"",""PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,20,0,0,0,11,0,0,0,0,0,0,0,31"
"9815,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010038P7"",""FAPESP"",""USP"",""Estadual"",""PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"9816,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010038P7"",""PNPD"",""USP"",""Estadual"",""PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9817,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010039P3"",""DS"",""USP"",""Estadual"",""PSICOLOGIA CLÍNICA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,20,0,0,0,13,0,0,0,0,0,0,0,33"
"9818,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010039P3"",""FAPESP"",""USP"",""Estadual"",""PSICOLOGIA CLÍNICA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,2"
"9819,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010039P3"",""PNPD"",""USP"",""Estadual"",""PSICOLOGIA CLÍNICA"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9820,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010040P1"",""DS"",""USP"",""Estadual"",""PSICOLOGIA SOCIAL"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,19,0,0,0,7,0,0,0,0,0,0,0,26"
"9821,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010040P1"",""FAPESP"",""USP"",""Estadual"",""PSICOLOGIA SOCIAL"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,2,0,0,0,0,0,0,0,0,0,0,1,3"
"9822,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010040P1"",""PNPD"",""USP"",""Estadual"",""PSICOLOGIA SOCIAL"",""INDEFINIDA"",""PSICOLOGIA"",""CIÊNCIAS HUMANAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9823,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010045P3"",""FAPESP"",""USP"",""Estadual"",""ENGENHARIA ELÉTRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""33002010"",0,0,1,0,0,0,1,0,0,0,0,0,0,4,6"
"9824,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010045P3"",""PGPTA"",""USP"",""Estadual"",""ENGENHARIA ELÉTRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""33002010"",0,0,2,0,0,0,2,0,0,0,0,0,0,0,4"
"9825,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010045P3"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA ELÉTRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9826,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010045P3"",""PRO-DEFESA"",""USP"",""Estadual"",""ENGENHARIA ELÉTRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9827,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010045P3"",""PROEX"",""USP"",""Estadual"",""ENGENHARIA ELÉTRICA"",""INDEFINIDA"",""ENGENHARIA ELÉTRICA"",""ENGENHARIAS"",""33002010"",0,0,49,0,0,0,24,0,0,0,0,0,0,0,73"
"9828,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010046P0"",""DS"",""USP"",""Estadual"",""ENGENHARIA MECÂNICA"",""INDEFINIDA"",""ENGENHARIA MECÂNICA"",""ENGENHARIAS"",""33002010"",0,0,31,0,0,0,14,0,0,0,0,0,0,0,45"
"9829,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010046P0"",""FAPEAM"",""USP"",""Estadual"",""ENGENHARIA MECÂNICA"",""INDEFINIDA"",""ENGENHARIA MECÂNICA"",""ENGENHARIAS"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9830,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010046P0"",""FAPESP"",""USP"",""Estadual"",""ENGENHARIA MECÂNICA"",""INDEFINIDA"",""ENGENHARIA MECÂNICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9831,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010046P0"",""INCT"",""USP"",""Estadual"",""ENGENHARIA MECÂNICA"",""INDEFINIDA"",""ENGENHARIA MECÂNICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"9832,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010046P0"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA MECÂNICA"",""INDEFINIDA"",""ENGENHARIA MECÂNICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"9833,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010047P6"",""DS"",""USP"",""Estadual"",""REPRODUÇÃO ANIMAL"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,18,0,0,0,11,0,0,0,0,0,0,0,29"
"9834,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010047P6"",""FAPESP"",""USP"",""Estadual"",""REPRODUÇÃO ANIMAL"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,2,0,0,0,6,0,0,0,0,0,0,0,8"
"9835,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010047P6"",""PNPD"",""USP"",""Estadual"",""REPRODUÇÃO ANIMAL"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9836,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010048P2"",""INCT"",""USP"",""Estadual"",""ENGENHARIA METALÚRGICA"",""INDEFINIDA"",""ENGENHARIA DE MATERIAIS E METALÚRGICA"",""ENGENHARIAS"",""33002010"",0,0,1,0,0,0,2,0,0,0,0,0,0,0,3"
"9837,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010048P2"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA METALÚRGICA"",""INDEFINIDA"",""ENGENHARIA DE MATERIAIS E METALÚRGICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,7,7"
"9838,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010048P2"",""PROEX"",""USP"",""Estadual"",""ENGENHARIA METALÚRGICA"",""INDEFINIDA"",""ENGENHARIA DE MATERIAIS E METALÚRGICA"",""ENGENHARIAS"",""33002010"",0,0,26,0,0,0,19,0,0,0,0,0,0,0,45"
"9839,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010049P9"",""DS"",""USP"",""Estadual"",""ENGENHARIA NAVAL E OCEÂNICA"",""INDEFINIDA"",""ENGENHARIA NAVAL E OCEÂNICA"",""ENGENHARIAS"",""33002010"",0,0,12,0,0,0,12,0,0,0,0,0,0,0,24"
"9840,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010049P9"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA NAVAL E OCEÂNICA"",""INDEFINIDA"",""ENGENHARIA NAVAL E OCEÂNICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9841,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""ELETRONUC"",""IPEN"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33104018"",0,0,3,0,0,0,0,0,0,0,0,0,0,0,3"
"9842,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""ELETRONUC"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,2,0,0,0,5,0,0,0,0,0,0,0,7"
"9843,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""FAPERO"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"9844,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""FAPESP"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,3,4"
"9845,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""INCT"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"9846,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""PNPD"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8"
"9847,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""PREMIO"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9848,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""PROCAD"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1"
"9849,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010050P7"",""PROEX"",""USP"",""Estadual"",""TECNOLOGIA NUCLEAR"",""INDEFINIDA"",""ENGENHARIA NUCLEAR"",""ENGENHARIAS"",""33002010"",0,0,32,0,0,0,30,0,0,0,0,0,0,0,62"
"9850,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010052P0"",""DS"",""USP"",""Estadual"",""ENGENHARIA (ENGENHARIA DE PRODUÇÃO)"",""INDEFINIDA"",""ENGENHARIA DE PRODUÇÃO"",""ENGENHARIAS"",""33002010"",0,0,16,0,0,0,11,0,0,0,0,0,0,0,27"
"9851,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010052P0"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA (ENGENHARIA DE PRODUÇÃO)"",""INDEFINIDA"",""ENGENHARIA DE PRODUÇÃO"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9852,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010053P6"",""FAPESP"",""USP"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""33002010"",0,0,1,0,0,0,2,0,0,0,0,0,0,3,6"
"9853,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010053P6"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5"
"9854,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010053P6"",""PROCAD"",""USP"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""33002010"",0,0,0,3,0,0,0,0,0,0,0,0,0,0,3"
"9855,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010053P6"",""PROCAD"",""USP/EPUSP"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""35024003"",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2"
"9856,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010053P6"",""PROEX"",""USP"",""Estadual"",""ENGENHARIA QUÍMICA"",""INDEFINIDA"",""ENGENHARIA QUÍMICA"",""ENGENHARIAS"",""33002010"",0,0,19,0,0,0,15,0,0,0,0,0,0,0,34"
"9857,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010055P9"",""DS"",""USP"",""Estadual"",""ENGENHARIA DE TRANSPORTES"",""INDEFINIDA"",""ENGENHARIA DE TRANSPORTES"",""ENGENHARIAS"",""33002010"",0,0,11,0,0,0,6,0,0,0,0,0,0,0,17"
"9858,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010055P9"",""PNPD"",""USP"",""Estadual"",""ENGENHARIA DE TRANSPORTES"",""INDEFINIDA"",""ENGENHARIA DE TRANSPORTES"",""ENGENHARIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9859,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010056P5"",""DS"",""USP"",""Estadual"",""PATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,17,0,0,0,0,0,0,0,0,0,0,0,17"
"9860,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010056P5"",""FAPESP"",""USP"",""Estadual"",""PATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4"
"9861,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010056P5"",""PNPD"",""USP"",""Estadual"",""PATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9862,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010057P1"",""FAPESP"",""USP"",""Estadual"",""PATOLOGIA EXPERIMENTAL E COMPARADA"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,2,0,0,0,5,0,0,0,0,0,0,1,8"
"9863,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010057P1"",""PNPD"",""USP"",""Estadual"",""PATOLOGIA EXPERIMENTAL E COMPARADA"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9864,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010057P1"",""PROEX"",""USP"",""Estadual"",""PATOLOGIA EXPERIMENTAL E COMPARADA"",""INDEFINIDA"",""MEDICINA VETERINÁRIA"",""CIÊNCIAS AGRÁRIAS"",""33002010"",0,0,10,0,0,0,12,0,0,0,0,0,0,0,22"
"9865,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010059P4"",""DS"",""USP"",""Estadual"",""MEDICINA (CLÍNICA CIRÚRGICA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,8,0,0,0,0,0,0,0,0,0,0,0,8"
"9866,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010060P2"",""DS"",""USP"",""Estadual"",""MEDICINA (DERMATOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,10,0,0,0,7,0,0,0,0,0,0,0,17"
"9867,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010060P2"",""FAPESP"",""USP"",""Estadual"",""MEDICINA (DERMATOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1"
"9868,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010060P2"",""PNPD"",""USP"",""Estadual"",""MEDICINA (DERMATOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9869,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010061P9"",""FAPESP"",""USP"",""Estadual"",""ALERGIA E IMUNOPATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9870,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010061P9"",""INCT"",""USP"",""Estadual"",""ALERGIA E IMUNOPATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9871,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010061P9"",""PNPD"",""USP"",""Estadual"",""ALERGIA E IMUNOPATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3"
"9872,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010061P9"",""PROEX"",""USP"",""Estadual"",""ALERGIA E IMUNOPATOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,9,0,0,0,7,0,0,0,0,0,0,0,16"
"9873,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010062P5"",""DS"",""USP"",""Estadual"",""ENDOCRINOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,18,0,0,0,5,0,0,0,0,0,0,0,23"
"9874,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010062P5"",""FAPESP"",""USP"",""Estadual"",""ENDOCRINOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,3,0,0,0,0,0,0,1,4"
"9875,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010062P5"",""PNPD"",""USP"",""Estadual"",""ENDOCRINOLOGIA"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9876,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010064P8"",""DS"",""USP"",""Estadual"",""MEDICINA (OBSTETRÍCIA E GINECOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,8,0,0,0,8,0,0,0,0,0,0,0,16"
"9877,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010064P8"",""FAPESP"",""USP"",""Estadual"",""MEDICINA (OBSTETRÍCIA E GINECOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
"9878,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010064P8"",""PNPD"",""USP"",""Estadual"",""MEDICINA (OBSTETRÍCIA E GINECOLOGIA)"",""INDEFINIDA"",""MEDICINA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
"9879,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010066P0"",""FAPESP"",""USP"",""Estadual"",""Saúde Coletiva"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,2,0,0,0,2,0,0,0,0,0,0,0,4"
"9880,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010066P0"",""PNPD"",""USP"",""Estadual"",""Saúde Coletiva"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2"
"9881,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010066P0"",""PROEX"",""USP"",""Estadual"",""Saúde Coletiva"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,15,0,0,0,6,0,0,0,0,0,0,0,21"
"9882,2018,""SP"",""SÃO PAULO"",""SUDESTE"",""33002010066P0"",""USP-CAPES"",""USP"",""Estadual"",""Saúde Coletiva"",""INDEFINIDA"",""SAÚDE COLETIVA"",""CIÊNCIAS DA SAÚDE"",""33002010"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1"
